cve,repo,commit
CVE-2009-0385,FFmpeg,0838cfdc8a10185604db5cd9d6bffad71279a0e8
CVE-2010-3429,FFmpeg,6e73cef6e3b536fbccdb82bd9260440d836b3f03
CVE-2010-4704,FFmpeg,3dde66752d59dfdd0f3727efd66e7202b3c75078
CVE-2011-0480,FFmpeg,13184036a6b1b1d4b61c91118c0896e9ad4634c3
CVE-2011-1931,FFmpeg,89f903b3d5ec38c9c5d90fba7e626fa0eda61a32
CVE-2011-2161,FFmpeg,8312e3fc9041027a33c8bc667bb99740fdf41dd5
CVE-2011-3362,FFmpeg,6481a36010d8f7d834676f17ba555d0a3815c760
CVE-2011-3934,FFmpeg,247d30a7dba6684ccce4508424f35fd58465e535
CVE-2011-3935,FFmpeg,668494acd8b20f974c7722895d4a6a14c1005f1e
CVE-2011-3937,FFmpeg,71db86d53b5c6872cea31bf714a1a38ec78feaba
CVE-2011-3940,FFmpeg,5c011706bc752d34bc6ada31d7df2ca0c9af7c6b
CVE-2011-3941,FFmpeg,c77be3a35a0160d6af88056b0899f120f2eef38e
CVE-2011-3944,FFmpeg,1285baaab550e3e761590ef6dfb1d9bd9d1332e4
CVE-2011-3945,FFmpeg,807a045ab7f51993a2c1b3116016cbbd4f3d20d6
CVE-2011-3946,FFmpeg,9decfc17bb76da34734296048d390b176abf404c
CVE-2011-3947,FFmpeg,b57d262412204e54a7ef8fa1b23ff4dcede622e5
CVE-2011-3973,FFmpeg,4a71da0f3ab7f5542decd11c81994f849d5b2c78
CVE-2011-3974,FFmpeg,4a71da0f3ab7f5542decd11c81994f849d5b2c78
CVE-2011-4031,FFmpeg,ba9a7e0d71bd34f8b89ae99322b62a310be163a6
CVE-2011-4352,FFmpeg,eef5c35b4352ec49ca41f6198bee8a976b1f81e5
CVE-2011-4364,FFmpeg,c0cbe36b18ab3eb13a53fe684ec1f63a00df2c86
CVE-2011-4579,FFmpeg,6e24b9488e67849a28e64a8056e05f83cf439229
CVE-2012-0848,FFmpeg,5257743aee0c3982f0079e6553aabc6aa39401d2
CVE-2012-0850,FFmpeg,944f5b2779e4aa63f7624df6cd4de832a53db81b
CVE-2012-0851,FFmpeg,7fff64e00d886fde11d61958888c82b461cf99b9
CVE-2012-0852,FFmpeg,608708009f69ba4cecebf05120c696167494c897
CVE-2012-0853,FFmpeg,9af6abdc17deb95c9b1f1d9242ba49b8b5e0b016
CVE-2012-0854,FFmpeg,6d8e6fe9dbc365f50521cf0c4a5ffee97c970cb5
CVE-2012-0858,FFmpeg,204cb29b3c84a74cbcd059d353c70c8bdc567d98
CVE-2012-0859,FFmpeg,6fcf2bb8af0e7d6bb179e71e67e5fab8ef0d2ec2
CVE-2012-2772,FFmpeg,cb7190cd2c691fd93e4d3664f3fce6c19ee001dd
CVE-2012-2775,FFmpeg,9d3032b960ae03066c008d6e6774f68b17a1d69d
CVE-2012-2776,FFmpeg,ba775a54bc2136ec5da85385a923b05ee6fab159
CVE-2012-2777,FFmpeg,25715064c2ef4978672a91f8c856f3e8809a7c45
CVE-2012-2779,FFmpeg,229e4c133287955d5f3f837520a3602709b21950
CVE-2012-2783,FFmpeg,d85b3c4fff4c4b255232fcc01edbd57f19d60998
CVE-2012-2784,FFmpeg,25715064c2ef4978672a91f8c856f3e8809a7c45
CVE-2012-2786,FFmpeg,d1c95d2ce39560e251fdb14f4af91b04fd7b845c
CVE-2012-2787,FFmpeg,01bf2ad7351fdaa2e21b6bdf963d22d6ffccb920
CVE-2012-2788,FFmpeg,c41ac870470c614185e1752c11f892809022248a
CVE-2012-2789,FFmpeg,97a5addfcf0029d0f5538ed70cb38cae4108a618
CVE-2012-2790,FFmpeg,2837d8dc276760db1821b81df3f794a90bfa56e6
CVE-2012-2791,FFmpeg,0846719dd11ab3f7a7caee13e7af71f71d913389
CVE-2012-2793,FFmpeg,83c7803f55b3231faeb93c1a634399a70fae9480
CVE-2012-2794,FFmpeg,5ad7335ebac2b38bb2a1c8df51a500b78461c05a
CVE-2012-2796,FFmpeg,5e59a77cec804a9b44c60ea22c17beba6453ef23
CVE-2012-2797,FFmpeg,cca9528524c7a4b91451f4322bd50849af5d057e
